::Queue started at 24-Feb-2013 10:22:29, with machine clock reading 97272.9091.::
space	194549.8024
::Onset of trial expected: [N/A SELF PACED]  recorded: 201.0066 ::
trial	201.0066
::Onset of return expected: [N/A SELF PACED]  recorded: 201.7747 ::
return	201.7747
::Onset of trial expected: [N/A SELF PACED]  recorded: 202.5262 ::
trial	202.5262
::Onset of return expected: [N/A SELF PACED]  recorded: 203.4946 ::
return	203.4946
::Onset of trial expected: [N/A SELF PACED]  recorded: 204.2462 ::
trial	204.2462
::Onset of return expected: [N/A SELF PACED]  recorded: 205.2147 ::
return	205.2147
::Onset of trial expected: [N/A SELF PACED]  recorded: 205.9661 ::
trial	205.9661
::Onset of return expected: [N/A SELF PACED]  recorded: 206.701 ::
return	206.7010
::Onset of trial expected: [N/A SELF PACED]  recorded: 207.4524 ::
trial	207.4524
::Onset of return expected: [N/A SELF PACED]  recorded: 208.2039 ::
return	208.2039
::Onset of trial expected: [N/A SELF PACED]  recorded: 208.9386 ::
trial	208.9386
::Onset of return expected: [N/A SELF PACED]  recorded: 211.0261 ::
return	211.0261
::Onset of trial expected: [N/A SELF PACED]  recorded: 211.7775 ::
trial	211.7775
::Onset of return expected: [N/A SELF PACED]  recorded: 212.5289 ::
return	212.5289
::Onset of trial expected: [N/A SELF PACED]  recorded: 213.2638 ::
trial	213.2638
::Onset of return expected: [N/A SELF PACED]  recorded: 214.0151 ::
return	214.0151
::Onset of trial expected: [N/A SELF PACED]  recorded: 214.7667 ::
trial	214.7667
::Onset of return expected: [N/A SELF PACED]  recorded: 215.8353 ::
return	215.8353
::Onset of trial expected: [N/A SELF PACED]  recorded: 216.5868 ::
trial	216.5868
::Onset of return expected: [N/A SELF PACED]  recorded: 217.3049 ::
return	217.3049
::Onset of trial expected: [N/A SELF PACED]  recorded: 218.0564 ::
trial	218.0564
::Onset of return expected: [N/A SELF PACED]  recorded: 218.7911 ::
return	218.7911
::Onset of trial expected: [N/A SELF PACED]  recorded: 219.5426 ::
trial	219.5426
::Onset of return expected: [N/A SELF PACED]  recorded: 220.4109 ::
return	220.4109
::Onset of trial expected: [N/A SELF PACED]  recorded: 221.1625 ::
trial	221.1625
::Onset of return expected: [N/A SELF PACED]  recorded: 221.8972 ::
return	221.8972
::Onset of trial expected: [N/A SELF PACED]  recorded: 222.6486 ::
trial	222.6486
::Onset of return expected: [N/A SELF PACED]  recorded: 223.6505 ::
return	223.6505
::Onset of trial expected: [N/A SELF PACED]  recorded: 224.402 ::
trial	224.4020
::Onset of return expected: [N/A SELF PACED]  recorded: 225.2703 ::
return	225.2703
::Onset of trial expected: [N/A SELF PACED]  recorded: 226.0218 ::
trial	226.0218
::Onset of return expected: [N/A SELF PACED]  recorded: 226.8566 ::
return	226.8566
::Onset of trial expected: [N/A SELF PACED]  recorded: 227.6081 ::
trial	227.6081
::Onset of return expected: [N/A SELF PACED]  recorded: 228.343 ::
return	228.3430
::Onset of trial expected: [N/A SELF PACED]  recorded: 229.0944 ::
trial	229.0944
::Onset of return expected: [N/A SELF PACED]  recorded: 229.8459 ::
return	229.8459
::Onset of trial expected: [N/A SELF PACED]  recorded: 230.5806 ::
trial	230.5806
::Onset of return expected: [N/A SELF PACED]  recorded: 231.3487 ::
return	231.3487
::Onset of trial expected: [N/A SELF PACED]  recorded: 232.1002 ::
trial	232.1002
