Event Number	Event Type	Onset
325	return	258.6205031719
326	trial	259.3364100360
327	return	260.0530001450
328	trial	260.7875079520
329	return	261.5037555799
330	trial	262.2205471450
331	return	262.9711974129
332	trial	263.6869541060
333	return	264.4045205050
334	trial	265.1218684630
335	return	265.9052715750
336	trial	266.6214181209
337	return	267.3551527429
338	trial	268.0718306180
339	return	268.7881364910
340	trial	269.5060200900
341	return	270.2216862770
342	trial	270.9392503250
343	return	271.6554318600
344	trial	272.3725617189
345	return	273.0895692230
346	trial	273.8065132210
347	return	274.5397312860
348	trial	275.2554070150
349	return	275.9726701049
350	trial	276.6903717640
351	return	277.4061253179
352	trial	278.1241980139
353	return	278.8398889189
354	trial	279.5563319740
355	return	280.3395357080
356	trial	281.0569477340
357	return	281.7740755109
358	trial	282.4898904490
359	return	283.2071023750
360	trial	283.9236890270
361	return	284.7570221539
362	trial	285.4735698630
363	return	286.1908139989
364	trial	286.9073813129
365	return	287.7244672689
366	trial	288.4411141110
367	return	289.1585046439
368	trial	289.8755081230
369	return	290.9749939969
370	trial	291.6920338019
371	return	292.4092073770
372	trial	293.1248525030
373	return	293.8427289119
374	trial	294.5594105240
375	return	295.2748328240
376	trial	295.9924128200
377	return	296.7096061710
378	trial	297.4254418589
379	return	298.1596590970
380	trial	298.8756495829
381	return	300.2265332739
382	trial	300.9434646789
383	return	301.6601380500
384	trial	302.3767733540
385	return	303.1935722389
386	trial	303.9098483250
387	return	304.6274618430
388	trial	305.3430229300
389	return	306.0608242810
390	trial	306.7773379900
391	return	307.5270762149
392	trial	308.2439344149
393	return	308.9776658809
394	trial	309.6948785690
395	return	310.4107393649
396	trial	311.1283488660
397	return	311.9446325849
398	trial	312.6617991780
399	return	313.4791005340
400	trial	314.1949713969
401	return	314.9123104940
402	trial	315.6290286010
403	return	316.3618741339
404	rest	317.0788938929
405	cue	329.0971351980
406	trial	329.6306535680
407	return	330.5815350349
408	trial	331.2976706929
409	return	332.0148046280
410	trial	332.7319247059
411	return	333.4479385460
412	trial	334.1653732980
413	return	334.8816198589
414	trial	335.5988507289
415	return	336.5149349689
416	trial	337.2318031950
417	return	337.9490224969
418	trial	338.6654766400
419	return	339.3824964380
420	trial	340.0988518050
421	return	340.8158005440
422	trial	341.5331862069
423	return	342.2497858660
424	trial	342.9670482449
425	return	343.6998689959
426	trial	344.4160840430
427	return	345.1336485150
428	trial	345.8503288080
429	return	346.7002905640
430	trial	347.4164263930
431	return	348.1341549000
432	trial	348.8513297569
433	return	349.6169931249
434	trial	350.3340342579
435	return	351.0511481550
436	trial	351.7683021730
437	return	352.6503098119
438	trial	353.3681050549
439	return	354.0850186240
440	trial	354.8019552389
441	return	355.6026707219
442	trial	356.2688765710
443	return	357.1354790659
444	trial	357.8514209150
445	return	358.5689564659
446	trial	359.2855902209
447	return	360.1519004280
448	trial	360.8688870990
449	return	361.5862187650
450	trial	362.3024080029
451	return	363.0356816869
452	trial	363.7028669859
453	return	364.4198425260
454	trial	365.1359963659
455	return	365.8533349000
456	trial	366.5694735179
457	return	367.3201175219
458	trial	368.0361585530
459	return	368.8372569419
460	trial	369.5532939250
461	return	370.2700499339
462	trial	370.9870031619
463	return	371.7379635850
464	trial	372.4542025600
465	return	374.0881497960
466	trial	374.8046631219
467	return	375.5216742780
468	trial	376.2373638100
469	return	377.0886877719
470	trial	377.8049246039
471	return	378.5714507509
472	trial	379.2885211010
473	return	380.5225906000
474	trial	381.2390290180
475	return	381.9558780510
476	trial	382.6720986189
477	return	383.3896350870
478	trial	384.6726709580
479	return	385.4560484620
480	trial	386.1726580380
481	return	386.8901903130
482	trial	387.6068525660
483	return	388.5404646290
484	trial	389.2564221460
485	return	389.9733539630
486	rest	390.6899806689
487	cue	402.7087578709
488	trial	403.2247363790
489	return	404.5591832190
490	trial	405.2923759390
491	return	406.0094751789
492	trial	406.7760394820
493	return	407.5099745420
494	trial	408.2600415900
495	return	409.0093130519
496	trial	409.8262316659
497	return	410.5429348450
498	trial	411.2265998659
499	return	411.9441213000
500	trial	412.8439106590
501	return	413.5773439200
502	trial	414.2611315770
503	return	414.9941625670
504	trial	415.8601405900
505	return	417.2277801119
506	trial	417.9783842269
507	return	419.5947640269
508	trial	420.3110501310
509	return	421.5784607569
510	trial	422.4115690599
511	return	424.0618421619
512	trial	424.7787838520
513	return	426.5950034100
514	trial	427.4456497319
515	return	429.0124758499
516	trial	429.8293087450
517	return	430.6798176779
518	trial	431.4467880230
519	return	432.8629095580
520	trial	433.6137034000
521	return	435.0466150870
522	trial	435.7638482429
523	return	437.0634233470
524	trial	437.7814119919
525	return	439.3480008589
526	trial	440.0651157600
527	return	441.1479462000
528	trial	441.9147079010
529	return	442.8818043070
530	trial	443.5645412049
531	return	444.9815401869
532	trial	445.6980922300
533	return	446.4657722859
534	trial	447.2483370550
535	return	448.6329233899
536	trial	449.3824278490
537	return	451.0000967779
538	trial	451.7167522380
539	return	453.0329519130
540	trial	453.7501520589
541	return	455.4333821440
542	trial	456.1664591080
543	return	457.8174579289
544	trial	458.5344771480
545	return	459.9014306130
546	trial	460.6170739459
547	return	461.7345823080
548	trial	462.4852547989
549	return	463.9016038859
550	trial	464.7851368160
551	return	466.0520553379
552	trial	466.7680163670
553	return	467.5860650300
554	trial	468.3518790290
555	return	469.8030349499
556	trial	470.5191645049
557	return	471.9191644309
558	trial	472.8032897289
559	return	474.3694000359
560	trial	475.0860571259
561	return	476.0869192510
562	trial	476.9038547010
563	return	478.3366274190
564	trial	479.1375019270
565	return	480.6047268210
566	trial	481.3704371890
567	return	482.0871084180
568	trial	482.7542400119
569	return	483.8716895500
