Trial	Type	Target #	Time to Target	Endpoint Error	Est. Avg. Error Mag	Accum. Error x dMagProj	Max Error Mag.	Max Error Pos. (% of trajectory)	Feedback	Target (1)/Return (0)
132	1	3	6.515290e-01	1.836970e-16	8.277739e-02	8.282180e+00	1.782990e+00	3.905790e+00	1	1
132	0	3	1.004814e-01	0	4.000400e+00	7.868106e+02	6.611297e+00	7.079983e+01	1	0
133	1	4	4.847266e-01	2.449294e-16	1.081205e+00	1.072674e+02	4.104938e+00	1.970279e-01	1	1
133	0	4	8.440992e-02	0	4.685612e-02	8.078509e+00	1.956866e-01	9.035034e+01	1	0
134	1	3	6.022863e-01	4.353683e-02	4.057011e-01	4.005575e+01	4.301204e+00	100	1	1
134	0	3	2.011725e-01	0	7.790033e+00	1.539022e+03	1.070140e+01	5.032610e+01	1	0
135	1	1	7.017973e-01	-1.278699e-01	1.192202e+01	1.259860e+03	1.996828e+01	6.986653e+01	1	1
135	0	1	2.679250e-01	0	2.682521e+00	5.316589e+02	3.324978e+00	5.052656e+01	1	0
136	1	2	4.855664e-01	-7.615764e-02	2.460202e+00	2.390664e+02	7.414844e+00	100	1	1
136	0	2	2.526265e-01	0	5.861005e+00	1.172089e+03	8.191663e+00	4.993490e+01	1	0
137	1	1	7.015944e-01	1.113144e-01	1.416522e+00	1.402383e+02	1.089108e+01	100	1	1
137	0	1	2.850908e-01	0	7.081226e+00	1.412676e+03	1.204508e+01	4.986020e+01	1	0
138	1	2	4.522178e-01	4.966092e-02	6.745794e-01	6.631998e+01	5.088063e+00	7.800611e-16	1	1
138	0	2	2.684892e-01	0	3.847836e+00	7.700810e+02	6.638998e+00	4.995440e+01	1	0
139	1	3	7.010973e-01	4.894048e-02	1.242904e+00	1.190398e+02	5.468781e+00	9.135991e+01	1	1
139	0	3	2.514627e-01	0	3.417887e+00	6.826721e+02	5.657980e+00	6.375781e+01	1	0
140	1	4	5.017489e-01	2.568605e-02	4.367185e+00	4.323027e+02	8.109066e+00	4.954148e+01	1	1
140	0	4	3.025811e-01	0	3.291856e+00	6.569941e+02	8.191556e+00	5.021350e+01	1	0
141	1	4	4.686945e-01	2.449294e-16	1.896665e+00	1.896665e+02	4.098241e+00	5.503353e+01	1	1
141	0	4	2.346499e-01	0	6.011217e-01	1.190480e+02	4.105629e+00	5.380046e+01	1	0
142	1	2	4.179274e-01	7.707474e-02	2.961979e+00	2.918510e+02	7.609436e+00	100	1	1
142	0	2	2.354666e-01	0	4.026778e+00	7.882744e+02	7.804009e+00	5.102793e+01	1	0
143	1	3	6.180039e-01	1.836970e-16	4.113621e-03	4.194122e-01	1.953570e-01	5.176711e+00	1	1
143	0	3	3.512543e-01	0	2.282339e+00	4.562004e+02	4.691502e+00	5.000822e+01	1	0
144	1	1	6.347720e-01	7.214022e-02	5.276257e-01	5.809751e+01	7.221872e+00	100	1	1
144	0	1	3.017962e-01	0	9.718487e+00	1.885488e+03	1.471161e+01	5.108475e+01	1	0
145	2	2	5.847390e-01	4.089957e-03	4.167745e-01	3.988279e+01	5.479452e+00	9.015880e-16	1	1
