::Queue started at 28-Jan-2013 13:58:54, with machine clock reading 445078.3056.::
::Experiment started at 28-Jan-2013 13:58:55, with machine clock reading 445078.9117.::
::TTL #1 expected (time-based): 0 recorded: 0 ::
=+	890157.7901
trial	194.6777
::Onset of return expected: [N/A SELF PACED]  recorded: 195.3947 ::
return	195.3947
::Onset of trial expected: [N/A SELF PACED]  recorded: 196.044 ::
trial	196.0440
::Onset of return expected: [N/A SELF PACED]  recorded: 196.7616 ::
return	196.7616
::Onset of trial expected: [N/A SELF PACED]  recorded: 197.4777 ::
trial	197.4777
::Onset of return expected: [N/A SELF PACED]  recorded: 198.1944 ::
return	198.1944
::Onset of trial expected: [N/A SELF PACED]  recorded: 199.7112 ::
trial	199.7112
::Onset of return expected: [N/A SELF PACED]  recorded: 200.6117 ::
return	200.6117
::Onset of trial expected: [N/A SELF PACED]  recorded: 201.3288 ::
trial	201.3288
::Onset of return expected: [N/A SELF PACED]  recorded: 202.0452 ::
return	202.0452
::Onset of trial expected: [N/A SELF PACED]  recorded: 202.6793 ::
trial	202.6793
::Onset of return expected: [N/A SELF PACED]  recorded: 203.3955 ::
return	203.3955
::Onset of trial expected: [N/A SELF PACED]  recorded: 205.0618 ::
trial	205.0618
::Onset of return expected: [N/A SELF PACED]  recorded: 206.0629 ::
return	206.0629
::Onset of trial expected: [N/A SELF PACED]  recorded: 207.3628 ::
trial	207.3628
::Onset of return expected: [N/A SELF PACED]  recorded: 208.3627 ::
return	208.3627
::Onset of trial expected: [N/A SELF PACED]  recorded: 209.1298 ::
trial	209.1298
::Onset of return expected: [N/A SELF PACED]  recorded: 209.9628 ::
return	209.9628
::Onset of trial expected: [N/A SELF PACED]  recorded: 210.5962 ::
trial	210.5962
::Onset of return expected: [N/A SELF PACED]  recorded: 211.3136 ::
return	211.3136
::Onset of trial expected: [N/A SELF PACED]  recorded: 211.946 ::
trial	211.9460
::Onset of return expected: [N/A SELF PACED]  recorded: 212.6632 ::
return	212.6632
::Onset of trial expected: [N/A SELF PACED]  recorded: 213.2971 ::
trial	213.2971
::Onset of return expected: [N/A SELF PACED]  recorded: 214.0304 ::
return	214.0304
::Onset of trial expected: [N/A SELF PACED]  recorded: 214.6646 ::
trial	214.6646
::Onset of return expected: [N/A SELF PACED]  recorded: 215.3803 ::
return	215.3803
::Onset of trial expected: [N/A SELF PACED]  recorded: 216.0139 ::
trial	216.0139
::Onset of return expected: [N/A SELF PACED]  recorded: 216.7315 ::
return	216.7315
::Onset of trial expected: [N/A SELF PACED]  recorded: 217.3639 ::
trial	217.3639
::Onset of return expected: [N/A SELF PACED]  recorded: 218.0983 ::
return	218.0983
::Onset of trial expected: [N/A SELF PACED]  recorded: 218.7315 ::
trial	218.7315
::Onset of return expected: [N/A SELF PACED]  recorded: 219.4486 ::
return	219.4486
::Onset of trial expected: [N/A SELF PACED]  recorded: 220.081 ::
trial	220.0810
::Onset of return expected: [N/A SELF PACED]  recorded: 220.7979 ::
return	220.7979
::Onset of trial expected: [N/A SELF PACED]  recorded: 221.432 ::
trial	221.4320
::Onset of return expected: [N/A SELF PACED]  recorded: 222.1478 ::
return	222.1478
::Onset of trial expected: [N/A SELF PACED]  recorded: 222.798 ::
trial	222.7980
::Onset of return expected: [N/A SELF PACED]  recorded: 223.5153 ::
return	223.5153
::Onset of trial expected: [N/A SELF PACED]  recorded: 224.1487 ::
trial	224.1487
::Onset of return expected: [N/A SELF PACED]  recorded: 224.8661 ::
return	224.8661
::Onset of trial expected: [N/A SELF PACED]  recorded: 225.4982 ::
trial	225.4982
::Onset of return expected: [N/A SELF PACED]  recorded: 226.2151 ::
return	226.2151
::Onset of trial expected: [N/A SELF PACED]  recorded: 226.8651 ::
trial	226.8651
::Onset of return expected: [N/A SELF PACED]  recorded: 227.5825 ::
return	227.5825
::Onset of trial expected: [N/A SELF PACED]  recorded: 228.9153 ::
trial	228.9153
::Onset of return expected: [N/A SELF PACED]  recorded: 229.6328 ::
return	229.6328
::Onset of trial expected: [N/A SELF PACED]  recorded: 230.2658 ::
trial	230.2658
::Onset of return expected: [N/A SELF PACED]  recorded: 230.9835 ::
return	230.9835
::Onset of rest expected: [N/A SELF PACED]  recorded: 231.6662 ::
rest	231.6662
::Onset of cue expected: [N/A SELF PACED]  recorded: 243.6852 ::
cue	243.6852
::Onset of trial expected: [N/A SELF PACED]  recorded: 244.218 ::
trial	244.2180
::Onset of return expected: [N/A SELF PACED]  recorded: 245.7356 ::
return	245.7356
::Onset of trial expected: [N/A SELF PACED]  recorded: 246.452 ::
trial	246.4520
::Onset of return expected: [N/A SELF PACED]  recorded: 247.2359 ::
return	247.2359
::Onset of trial expected: [N/A SELF PACED]  recorded: 247.9526 ::
trial	247.9526
::Onset of return expected: [N/A SELF PACED]  recorded: 248.8029 ::
return	248.8029
::Onset of trial expected: [N/A SELF PACED]  recorded: 249.5196 ::
trial	249.5196
::Onset of return expected: [N/A SELF PACED]  recorded: 250.4864 ::
return	250.4864
::Onset of trial expected: [N/A SELF PACED]  recorded: 251.2024 ::
trial	251.2024
::Onset of return expected: [N/A SELF PACED]  recorded: 251.9862 ::
return	251.9862
::Onset of trial expected: [N/A SELF PACED]  recorded: 252.7031 ::
trial	252.7031
::Onset of return expected: [N/A SELF PACED]  recorded: 253.6204 ::
return	253.6204
::Onset of trial expected: [N/A SELF PACED]  recorded: 254.336 ::
trial	254.3360
::Onset of return expected: [N/A SELF PACED]  recorded: 255.3369 ::
return	255.3369
::Onset of trial expected: [N/A SELF PACED]  recorded: 256.0532 ::
trial	256.0532
::Onset of return expected: [N/A SELF PACED]  recorded: 256.8533 ::
return	256.8533
::Onset of trial expected: [N/A SELF PACED]  recorded: 257.5703 ::
trial	257.5703
::Onset of return expected: [N/A SELF PACED]  recorded: 258.5705 ::
return	258.5705
::Onset of trial expected: [N/A SELF PACED]  recorded: 259.2872 ::
trial	259.2872
::Onset of return expected: [N/A SELF PACED]  recorded: 260.0373 ::
return	260.0373
::Onset of trial expected: [N/A SELF PACED]  recorded: 260.7543 ::
trial	260.7543
::Onset of return expected: [N/A SELF PACED]  recorded: 261.7544 ::
return	261.7544
::Onset of trial expected: [N/A SELF PACED]  recorded: 262.4716 ::
trial	262.4716
::Onset of return expected: [N/A SELF PACED]  recorded: 263.287 ::
return	263.2870
::Onset of trial expected: [N/A SELF PACED]  recorded: 264.0044 ::
trial	264.0044
::Onset of return expected: [N/A SELF PACED]  recorded: 264.7881 ::
return	264.7881
::Onset of trial expected: [N/A SELF PACED]  recorded: 265.5048 ::
trial	265.5048
::Onset of return expected: [N/A SELF PACED]  recorded: 266.221 ::
return	266.2210
::Onset of trial expected: [N/A SELF PACED]  recorded: 266.9386 ::
trial	266.9386
::Onset of return expected: [N/A SELF PACED]  recorded: 267.8724 ::
return	267.8724
::Onset of trial expected: [N/A SELF PACED]  recorded: 268.5893 ::
trial	268.5893
::Onset of return expected: [N/A SELF PACED]  recorded: 269.5386 ::
return	269.5386
::Onset of rest expected: [N/A SELF PACED]  recorded: 270.2558 ::
rest	270.2558
::Onset of cue expected: [N/A SELF PACED]  recorded: 282.2746 ::
cue	282.2746
::Onset of trial expected: [N/A SELF PACED]  recorded: 282.7908 ::
trial	282.7908
::Onset of return expected: [N/A SELF PACED]  recorded: 283.6739 ::
return	283.6739
::Onset of trial expected: [N/A SELF PACED]  recorded: 284.3909 ::
trial	284.3909
::Onset of return expected: [N/A SELF PACED]  recorded: 285.3579 ::
return	285.3579
::Onset of trial expected: [N/A SELF PACED]  recorded: 286.0739 ::
trial	286.0739
::Onset of return expected: [N/A SELF PACED]  recorded: 287.6582 ::
return	287.6582
::Onset of trial expected: [N/A SELF PACED]  recorded: 288.4921 ::
trial	288.4921
